origen,destino,num_estaciones,num_transbordos,num_troncales,distancia_km,hora_dia,dia_semana,es_hora_pico,es_fin_semana,num_portales,tiempo_minutos,categoria
Normandia,Aurora,25,5,4,15.998,12,1,0,0,0,62.78,Lento
Aurora,Socorro,3,0,1,0.948,21,1,0,0,0,8.98,Rapido
Av Cali Calle 80,Museo Nacional,13,5,4,8.635,13,6,0,1,0,19.88,Rapido
Biblioteca Tintal,Calle 146,21,4,5,13.143,5,0,0,0,0,42.33,Medio
Museo Nacional,Calle 22,3,0,1,0.333,22,2,0,0,0,2.61,Rapido
Yomasa,Alcala,25,5,6,22.021,14,3,0,0,0,71.05,Lento
Granja,Virrey,8,3,3,4.742,9,3,0,0,0,16.61,Rapido
Virrey,Calle 22,7,1,2,7.081,14,0,0,0,0,12.81,Rapido
Tercer Milenio,Centro Memoria,2,0,1,1.939,13,6,0,1,0,1.18,Rapido
Olaya,Hospitales,4,0,1,2.465,10,0,0,0,0,6.6,Rapido
Portal Sur,Marly,16,1,2,10.356,12,0,0,0,1,26.23,Medio
Calle 19,Shaio,9,3,3,9.905,20,1,1,0,0,26.46,Medio
Calle 100 Suba,Calle 142,8,1,2,4.249,13,5,0,1,0,14.81,Rapido
Hospitales,Gobernacion,9,4,3,7.218,19,0,1,0,0,17.59,Rapido
Av Chile,Hospitales,5,0,1,8.994,16,6,0,1,0,8.31,Rapido
Calle 19,Calle 142,13,4,3,12.71,6,0,1,0,0,38.62,Medio
Calle 63 NQS,Marly,12,2,3,3.038,16,3,0,0,0,22.11,Rapido
Calle 127,Mundo Aventura,15,4,5,8.897,15,1,0,0,0,31.4,Medio
Portal El Dorado,Granja,16,4,4,3.731,17,5,1,1,1,46.85,Medio
Calle 63 NQS,Calle 19,8,2,3,5.442,9,5,0,1,0,14.37,Rapido
Calle 63,Calle 146,11,2,2,8.796,18,4,1,0,0,28.91,Medio
Portal 80,Calle 85,4,2,3,3.771,17,6,1,1,1,8.03,Rapido
Calle 34,Portal Sur,15,1,2,9.581,20,0,1,0,1,41.3,Medio
Calle 100,Gobernacion,5,2,3,3.526,15,0,0,0,0,8.69,Rapido
Shaio,Santa Lucia,21,5,5,18.226,12,5,0,1,0,42.94,Medio
Virrey,Calle 142,8,0,1,5.292,18,5,1,1,0,19.76,Rapido
NQS Calle 38A Sur,Calle 45,9,4,4,5.136,22,4,0,0,0,14.05,Rapido
Calle 63,Prado,8,2,2,6.553,20,6,1,1,0,15.89,Rapido
Portal Usme,Mandalay,22,3,4,14.898,12,2,0,0,1,73.71,Lento
El Dorado,San Facade,15,4,3,6.958,17,3,1,0,0,38.35,Medio
Portal 80,Shaio,6,2,3,1.266,19,0,1,0,1,19.42,Rapido
Calle 22,Pradera,9,1,2,4.342,5,0,0,0,0,12.22,Rapido
San Facade,21 Angeles,14,3,4,12.583,7,6,1,1,0,35.0,Medio
Humedal Cordoba,Profamilia,10,3,3,9.721,22,1,0,0,0,17.89,Rapido
Marsella,Molinos,19,3,4,14.657,6,6,1,1,0,62.75,Lento
San Victorino,Virrey,10,3,2,8.238,20,5,1,1,0,22.91,Rapido
Calle 19,Calle 142,13,4,3,12.71,12,0,0,0,0,26.35,Medio
Hospitales,San Facade,3,1,2,1.998,21,2,0,0,0,3.99,Rapido
Calle 63 NQS,Pradera,5,1,2,2.555,9,6,0,1,0,8.76,Rapido
Calle 146,General Santander,24,5,4,20.493,11,1,0,0,0,47.04,Medio
De La Sabana,Portal El Dorado,18,4,3,5.329,11,5,0,1,1,31.41,Medio
Av Chile,Socorro,15,2,3,16.17,8,6,1,1,0,48.23,Medio
Socorro,Prado,23,5,6,20.661,9,3,0,0,0,58.21,Lento
San Facade,Polo,7,1,2,8.684,23,3,0,0,0,14.46,Rapido
Calle 72,Simon Bolivar,7,2,3,1.099,10,5,0,1,0,12.65,Rapido
Suba TV 91,Tercer Milenio,16,3,3,14.723,15,4,0,0,0,30.98,Medio
Tercer Milenio,Flores,6,1,2,5.312,13,3,0,0,0,10.59,Rapido
Portal Americas,Calle 38A Sur,19,3,4,12.269,9,3,0,0,1,50.26,Lento
Profamilia,Humedal Cordoba,12,1,2,9.721,22,6,0,1,0,15.64,Rapido
San Facade,Yomasa,14,2,3,9.773,11,1,0,0,0,39.59,Medio
Minuto de Dios,Calle 34,11,3,3,8.097,10,4,0,0,0,22.13,Rapido
Calle 19,Modelia,10,3,2,6.773,22,3,0,0,0,18.57,Rapido
Patio Bonito,Ricaurte,8,0,1,5.933,14,6,0,1,0,11.59,Rapido
Calle 146,Av 68,15,3,3,8.841,17,1,1,0,0,33.52,Medio
Granja,Calle 63,8,3,3,5.73,14,5,0,1,0,14.99,Rapido
Hospitales,Consuelo,14,1,2,8.524,22,0,0,0,0,40.36,Medio
Toberin,San Victorino,18,5,3,16.436,12,5,0,1,0,31.47,Medio
Profamilia,Heroes,8,0,1,4.49,6,3,1,0,0,17.59,Rapido
Las Aguas,San Facade,6,2,3,0.948,6,0,1,0,0,12.63,Rapido
Portal 80,El Dorado,12,3,4,4.507,16,6,0,1,1,21.13,Rapido
Centro Memoria,Cardio Infantil,17,4,3,14.069,14,3,0,0,0,31.66,Medio
Calle 85,Calle 72,3,0,1,1.373,21,0,0,0,0,3.58,Rapido
San Victorino,Gobernacion,7,4,2,5.678,9,1,0,0,0,11.46,Rapido
Marly,Portal Norte,17,2,2,14.403,9,0,0,0,1,30.25,Medio
Biblioteca Tintal,Yomasa,19,3,4,13.189,14,3,0,0,0,54.39,Lento
Calle 100 Suba,Las Aguas,11,4,3,10.101,21,1,0,0,0,19.94,Rapido
Prado,Calle 63,8,2,2,6.553,18,4,1,0,0,19.78,Rapido
El Dorado,De La Sabana,17,4,3,4.794,15,2,0,0,0,30.2,Medio
Virrey,Restrepo,14,3,3,11.388,20,4,1,0,0,38.7,Medio
Alcala,Calle 19,12,4,3,11.925,16,3,0,0,0,23.2,Rapido
Virrey,Flores,6,0,1,3.614,6,5,1,1,0,12.04,Rapido
Calle 19,NQS Calle 38A Sur,6,2,3,2.005,13,4,0,0,0,9.29,Rapido
Quiroga,Mundo Aventura,10,2,3,9.372,21,6,0,1,0,14.42,Rapido
Hospitales,Cardio Infantil,17,3,4,16.789,15,4,0,0,0,32.86,Medio
Ricaurte,21 Angeles,13,2,3,11.779,7,1,1,0,0,42.41,Medio
Pepe Sierra,Calle 146,6,0,1,3.714,11,4,0,0,0,11.39,Rapido
Polo,Calle 100 Suba,4,1,2,1.143,9,0,0,0,0,7.93,Rapido
Calle 127,Calle 100 Suba,5,1,2,2.342,6,1,1,0,0,13.52,Rapido
Shaio,Escuela Militar,6,2,3,2.231,13,3,0,0,0,12.87,Rapido
Polo,Las Aguas,10,4,3,9.598,5,3,0,0,0,17.21,Rapido
Virrey,Calle 100,2,0,1,0.785,23,0,0,0,0,1.78,Rapido
Prado,Calle 146,4,0,1,2.245,14,6,0,1,0,4.71,Rapido
Heroes,Portal 80,3,1,2,4.465,17,3,1,0,1,8.31,Rapido
Calle 63,Ricaurte,9,3,3,4.329,12,1,0,0,0,16.13,Rapido
Salitre El Greco,Hospitales,11,4,3,7.6,9,2,0,0,0,20.74,Rapido
Mundo Aventura,Alcala,17,4,5,10.258,22,6,0,1,0,26.31,Medio
21 Angeles,Shaio,4,0,1,2.598,17,4,1,0,0,7.92,Rapido
Consuelo,Minuto de Dios,23,3,4,19.059,11,3,0,0,0,76.84,Lento
Calle 40 Sur,Calle 63,13,3,3,10.912,10,1,0,0,0,23.03,Rapido
Calle 19,Calle 85,7,2,2,6.633,23,6,0,1,0,8.21,Rapido
San Facade,Portal Norte,19,4,5,17.193,22,0,0,0,1,33.69,Medio
Calle 142,Centro Memoria,15,4,3,12.281,23,3,0,0,0,27.16,Medio
Ferias,Calle 142,11,4,4,6.526,14,4,0,0,0,21.92,Rapido
Portal Usme,Portal Americas,25,3,4,14.322,15,4,0,0,2,85.97,Lento
Calle 45,Santa Lucia,18,2,3,11.606,23,2,0,0,0,37.53,Medio
Calle 63 NQS,21 Angeles,11,2,3,7.032,15,1,0,0,0,24.84,Rapido
Polo,Gratamira,7,1,2,3.108,16,1,0,0,0,14.33,Rapido
Portal Sur,Portal Norte,26,4,5,24.759,19,2,1,0,2,84.32,Lento
Calle 146,Calle 72,10,2,2,8.121,7,6,1,1,0,21.34,Rapido
Ricaurte,Centro Memoria,4,1,2,1.005,13,5,0,1,0,5.0,Rapido
Calle 100 Suba,Aurora,24,5,5,19.307,21,5,0,1,0,47.54,Medio
Normandia,Socorro,23,5,4,15.129,11,0,0,0,0,55.12,Lento
Salitre El Greco,Portal Suba,15,2,3,9.61,9,2,0,0,1,31.09,Medio
Socorro,Hospitales,11,1,2,7.228,9,3,0,0,0,28.74,Medio
Molinos,Prado,27,5,6,22.324,5,5,0,1,0,68.51,Lento
Toberin,Calle 63 NQS,15,3,4,10.339,21,1,0,0,0,26.53,Medio
Santa Lucia,Calle 40 Sur,4,1,2,2.155,20,2,1,0,0,13.81,Rapido
Escuela Militar,Calle 100,4,2,3,2.264,13,2,0,0,0,8.09,Rapido
Quiroga,Molinos,11,1,2,5.672,17,3,1,0,0,69.6,Lento
Av Chile,Mandalay,9,1,2,5.773,8,5,1,1,0,26.2,Medio
Gratamira,Gobernacion,9,2,3,6.609,23,4,0,0,0,15.13,Rapido
Museo Nacional,Molinos,18,2,3,11.86,23,5,0,1,0,46.28,Medio
General Santander,Museo Nacional,10,1,2,7.774,12,4,0,0,0,19.12,Rapido
Minuto de Dios,Portal Usme,29,7,6,20.017,20,4,1,0,1,113.59,Lento
Portal 80,Calle 63 NQS,5,0,1,3.979,12,0,0,0,1,9.42,Rapido
Calle 45,Calle 85,6,0,1,3.505,10,2,0,0,0,9.84,Rapido
Escuela Militar,Patio Bonito,12,1,2,7.855,15,5,0,1,0,22.37,Rapido
Portal Sur,Consuelo,7,0,1,2.969,23,1,0,0,1,27.07,Medio
Flores,Av Chile,7,2,3,3.126,9,4,0,0,0,12.23,Rapido
Profamilia,Av Chile,11,2,3,5.799,23,1,0,0,0,16.09,Rapido
Calle 85,Quiroga,15,3,3,12.172,17,4,1,0,0,40.94,Medio
Heroes,Calle 106,3,1,2,3.157,11,3,0,0,0,4.66,Rapido
Portal Sur,Calle 63 NQS,11,1,2,13.265,12,6,0,1,1,18.31,Rapido
Simon Bolivar,Calle 85,7,2,3,2.383,21,2,0,0,0,12.62,Rapido
Portal El Dorado,Suba TV 91,18,2,3,8.454,23,0,0,0,1,30.82,Medio
Calle 146,Aurora,30,6,5,23.838,11,4,0,0,0,78.82,Lento
Patio Bonito,Calle 45,16,3,3,7.146,8,1,1,0,0,43.26,Medio
Av Cali Calle 80,Ricaurte,11,1,2,8.469,21,6,0,1,0,16.61,Rapido
Calle 34,Tercer Milenio,7,0,1,3.204,22,6,0,1,0,6.91,Rapido
Polo,Quiroga,15,4,4,13.877,18,2,1,0,0,42.13,Medio
Pepe Sierra,Escuela Militar,6,3,4,3.13,20,6,1,1,0,14.45,Rapido
Shaio,Calle 142,9,1,2,3.847,18,1,1,0,0,24.2,Rapido
Calle 106,Heroes,3,1,2,3.157,22,3,0,0,0,3.68,Rapido
21 Angeles,Shaio,4,0,1,2.598,21,0,0,0,0,5.46,Rapido
Consuelo,Las Aguas,19,3,4,9.68,18,2,1,0,0,68.41,Lento
Simon Bolivar,General Santander,9,1,2,11.498,13,6,0,1,0,15.41,Rapido
Toberin,Gratamira,14,1,2,5.416,17,6,1,1,0,28.56,Medio
San Victorino,Portal Sur,12,2,3,7.126,10,2,0,0,1,23.72,Rapido
La Campiña,Shaio,6,0,1,4.495,16,6,0,1,0,8.77,Rapido
Calle 22,Escuela Militar,7,3,4,7.394,19,6,1,1,0,14.91,Rapido
De La Sabana,Profamilia,9,1,2,1.734,17,6,1,1,0,15.26,Rapido
Biblioteca Tintal,Calle 63,15,3,3,6.678,17,5,1,1,0,28.95,Medio
Calle 40 Sur,Portal Suba,22,3,4,21.139,18,0,1,0,1,57.6,Lento
Calle 106,Tercer Milenio,11,4,3,10.167,6,5,1,1,0,24.49,Rapido
Toberin,Quiroga,24,5,4,21.168,14,5,0,1,0,41.19,Medio
Calle 72,Pradera,12,3,3,3.236,19,0,1,0,0,27.54,Medio
Quiroga,Heroes,14,3,3,11.04,11,0,0,0,0,25.67,Medio
Escuela Militar,Toberin,13,3,4,8.498,10,5,0,1,0,21.84,Rapido
21 Angeles,Calle 63,9,1,2,8.081,7,2,1,0,0,23.91,Rapido
Nariño,Normandia,14,4,3,9.153,23,1,0,0,0,24.07,Rapido
Calle 100,Calle 127,4,0,1,2.155,22,2,0,0,0,6.29,Rapido
Simon Bolivar,Minuto de Dios,8,1,2,5.73,16,6,0,1,0,13.31,Rapido
Cardio Infantil,Portal El Dorado,20,3,3,11.654,17,4,1,0,1,46.86,Medio
Prado,Calle 146,4,0,1,2.245,22,0,0,0,0,4.96,Rapido
Calle 19,Profamilia,3,0,1,1.013,13,4,0,0,0,3.8,Rapido
Portal 80,Museo Nacional,9,4,4,8.621,23,3,0,0,1,17.09,Rapido
Portal El Dorado,Socorro,26,5,4,15.134,5,3,0,0,1,48.04,Medio
El Dorado,Escuela Militar,12,3,4,4.131,15,3,0,0,0,26.31,Medio
Alcala,Gobernacion,10,3,3,7.161,12,2,0,0,0,18.82,Rapido
Marsella,Calle 100 Suba,12,3,4,5.909,22,1,0,0,0,23.85,Rapido
Shaio,Granja,9,3,3,2.93,10,5,0,1,0,19.68,Rapido
Pradera,Centro Memoria,6,1,2,4.189,12,5,0,1,0,8.54,Rapido
Escuela Militar,Centro Memoria,8,2,3,7.269,12,6,0,1,0,11.82,Rapido
Calle 146,Calle 22,13,3,3,13.048,7,5,1,1,0,34.54,Medio
21 Angeles,Salitre El Greco,12,2,3,6.994,6,6,1,1,0,25.59,Medio
Pradera,Shaio,12,3,4,6.085,13,3,0,0,0,27.0,Medio
Profamilia,Gratamira,13,1,2,10.643,17,1,1,0,0,31.91,Medio
Restrepo,Pepe Sierra,13,4,5,13.641,20,4,1,0,0,35.03,Medio
Calle 72,Portal El Dorado,10,1,2,5.998,8,5,1,1,1,22.71,Rapido
Alcala,Consuelo,29,6,5,22.738,17,4,1,0,0,93.26,Lento
Gobernacion,Calle 85,5,1,2,2.121,22,2,0,0,0,6.61,Rapido
Toberin,Marsella,20,4,5,12.909,16,1,0,0,0,41.54,Medio
Mundo Aventura,Molinos,20,3,4,14.386,17,2,1,0,0,87.57,Lento
Shaio,Escuela Militar,6,2,3,2.231,8,5,1,1,0,14.34,Rapido
Polo,Museo Nacional,8,3,3,7.883,11,1,0,0,0,15.55,Rapido
Portal Suba,Alcala,14,1,2,5.511,10,3,0,0,1,30.97,Medio
Yomasa,Quiroga,8,1,2,4.564,22,5,0,1,0,21.76,Rapido
General Santander,San Victorino,11,2,3,6.343,23,0,0,0,0,18.75,Rapido
CAN,De La Sabana,12,4,3,2.886,13,3,0,0,0,20.63,Rapido
Marly,Gobernacion,5,1,2,2.653,16,2,0,0,0,7.74,Rapido
General Santander,Minuto de Dios,16,2,3,15.697,5,3,0,0,0,32.17,Medio
Tercer Milenio,Centro Memoria,2,0,1,1.939,23,4,0,0,0,1.43,Rapido
Heroes,Modelia,9,1,2,4.556,15,5,0,1,0,15.43,Rapido
Portal Americas,Calle 106,17,4,5,11.123,17,4,1,0,1,51.15,Lento
Calle 40 Sur,Calle 63 NQS,9,1,2,11.698,15,3,0,0,0,19.55,Rapido
Calle 100 Suba,Calle 106,3,1,2,1.723,10,2,0,0,0,4.3,Rapido
Hospitales,Granja,11,1,2,11.226,17,2,1,0,0,38.03,Medio
Molinos,Socorro,5,0,1,1.713,21,3,0,0,0,18.19,Rapido
Aurora,Calle 34,20,2,3,12.148,12,5,0,1,0,47.57,Medio
Calle 106,Consuelo,25,6,5,19.472,10,3,0,0,0,58.82,Lento
Portal Suba,San Facade,19,4,4,15.228,6,0,1,0,1,52.79,Lento
Calle 106,Calle 146,7,0,1,4.726,13,4,0,0,0,12.47,Rapido
NQS Calle 38A Sur,La Campiña,17,2,3,16.233,12,1,0,0,0,39.41,Medio
Calle 34,Restrepo,10,1,2,5.66,10,0,0,0,0,14.47,Rapido
Mandalay,Portal Suba,21,3,4,11.886,19,6,1,1,1,49.53,Medio
Portal 80,Calle 38A Sur,21,6,6,17.871,22,1,0,0,1,43.81,Medio
Santa Lucia,Polo,15,2,3,16.764,21,5,0,1,0,29.3,Medio
Minuto de Dios,Portal Sur,21,6,5,16.442,22,1,0,0,1,40.87,Medio
Molinos,Olaya,12,1,2,6.45,13,1,0,0,0,41.22,Medio
Calle 38A Sur,Minuto de Dios,19,3,4,17.377,14,3,0,0,0,49.88,Medio
Portal Usme,Portal Sur,9,0,1,4.081,14,0,0,0,2,47.97,Medio
Suba TV 91,Escuela Militar,10,2,3,5.639,5,4,0,0,0,18.31,Rapido
San Victorino,Polo,9,4,3,9.113,17,1,1,0,0,21.57,Rapido
NQS Calle 38A Sur,Museo Nacional,5,2,3,2.673,12,2,0,0,0,7.85,Rapido
Quiroga,Toberin,22,4,5,21.168,13,2,0,0,0,48.95,Medio
Granja,Olaya,18,6,5,13.542,11,6,0,1,0,24.96,Rapido
Calle 19,Portal El Dorado,12,3,2,7.575,19,2,1,0,1,33.54,Medio
Mandalay,Aurora,19,3,4,13.693,9,0,0,0,0,54.13,Lento
Calle 146,Heroes,9,1,2,7.883,13,1,0,0,0,18.63,Rapido
Escuela Militar,Calle 127,7,3,4,3.69,9,0,0,0,0,14.47,Rapido
La Campiña,Pradera,17,3,4,10.101,16,3,0,0,0,35.61,Medio
Calle 106,Calle 40 Sur,17,5,4,14.982,6,2,1,0,0,42.81,Medio
Portal Suba,Calle 85,11,1,2,9.095,11,6,0,1,1,16.28,Rapido
Alcala,Calle 22,11,3,3,11.588,12,3,0,0,0,22.7,Rapido
Av Cali Calle 80,Centro Memoria,14,5,4,8.814,19,5,1,1,0,36.79,Medio
Consuelo,Portal Suba,30,4,5,25.42,17,5,1,1,1,121.46,Lento
Calle 63,Yomasa,19,4,4,14.684,6,5,1,1,0,65.68,Lento
General Santander,Portal Sur,2,0,1,0.785,14,1,0,0,1,2.8,Rapido
De La Sabana,Calle 19,7,1,2,2.515,12,5,0,1,0,8.85,Rapido
Gratamira,Simon Bolivar,11,2,3,7.208,8,3,1,0,0,31.51,Medio
Av Chile,Simon Bolivar,3,0,1,2.355,20,5,1,1,0,5.67,Rapido
Calle 127,Flores,8,2,2,6.553,10,3,0,0,0,13.75,Rapido
Yomasa,CAN,21,5,4,15.141,6,2,1,0,0,76.73,Lento
Calle 146,Calle 34,15,2,2,11.697,20,1,1,0,0,37.33,Medio
Minuto de Dios,Portal 80,3,0,1,2.531,11,0,0,0,1,4.63,Rapido
Calle 38A Sur,General Santander,4,1,2,1.831,6,3,1,0,0,17.71,Rapido
Salitre El Greco,Portal Usme,26,5,4,16.934,11,4,0,0,1,73.95,Lento
Portal Norte,Gratamira,15,1,2,6.47,22,1,0,0,1,23.98,Rapido
Hospitales,Gobernacion,9,4,3,7.218,22,2,0,0,0,13.9,Rapido
Prado,Museo Nacional,12,4,3,10.475,10,0,0,0,0,22.96,Rapido
Virrey,Ferias,6,3,3,4.093,15,5,0,1,0,11.6,Rapido
NQS Calle 38A Sur,Cardio Infantil,18,3,4,16.499,21,5,0,1,0,33.14,Medio
Toberin,Heroes,11,1,2,10.128,15,3,0,0,0,20.6,Rapido
Quiroga,Calle 100,13,3,4,13.741,6,6,1,1,0,32.54,Medio
Av Cali Calle 80,Centro Memoria,14,5,4,8.814,8,3,1,0,0,33.26,Medio
NQS Calle 38A Sur,Portal Usme,17,2,3,9.941,21,4,0,0,1,56.91,Lento
Molinos,El Dorado,29,5,4,16.53,7,0,1,0,0,114.44,Lento
Portal Usme,Calle 106,25,5,6,20.552,19,6,1,1,1,91.34,Lento
Patio Bonito,Mundo Aventura,4,0,1,2.886,6,6,1,1,0,7.5,Rapido
Calle 100 Suba,Humedal Cordoba,3,0,1,1.793,7,1,1,0,0,5.76,Rapido
Escuela Militar,Ricaurte,5,0,1,7.105,17,1,1,0,0,12.74,Rapido
Santa Lucia,Yomasa,4,0,1,1.632,10,4,0,0,0,14.67,Rapido
Calle 146,Shaio,10,1,2,4.407,16,5,0,1,0,17.88,Rapido
Calle 146,Calle 63 NQS,13,3,4,8.112,10,4,0,0,0,26.08,Medio
Calle 63,Ricaurte,9,3,3,4.329,19,2,1,0,0,22.23,Rapido
Mandalay,Mundo Aventura,2,0,1,0.915,18,6,1,1,0,2.42,Rapido
Mandalay,Tercer Milenio,8,2,3,6.438,12,4,0,0,0,15.67,Rapido
San Facade,General Santander,9,1,2,6.804,16,3,0,0,0,17.01,Rapido
Av Cali Calle 80,Heroes,7,2,2,4.866,5,4,0,0,0,13.87,Rapido
21 Angeles,Humedal Cordoba,3,0,1,1.793,12,1,0,0,0,3.98,Rapido
Gratamira,San Facade,15,4,4,11.785,21,4,0,0,0,25.55,Medio
Calle 142,Av Cali Calle 80,14,4,4,5.929,19,2,1,0,0,38.07,Medio
Simon Bolivar,Flores,9,2,3,0.867,12,2,0,0,0,17.03,Rapido
Normandia,Santa Lucia,21,5,4,14.16,11,5,0,1,0,37.01,Medio
Portal Sur,Calle 72,16,3,3,13.157,20,6,1,1,1,37.66,Medio
Calle 142,Suba TV 91,13,1,2,4.051,14,0,0,0,0,27.35,Medio
Calle 106,CAN,7,3,3,4.065,15,2,0,0,0,12.85,Rapido
Calle 22,Escuela Militar,7,3,4,7.394,5,5,0,1,0,11.52,Rapido
La Campiña,Restrepo,20,4,4,18.04,6,2,1,0,0,49.31,Medio
Prado,El Dorado,15,3,3,8.343,9,0,0,0,0,34.04,Medio
Portal Americas,Suba TV 91,22,3,4,12.559,23,4,0,0,1,41.0,Medio
Nariño,Calle 40 Sur,5,0,1,3.14,9,2,0,0,0,8.27,Rapido
Biblioteca Tintal,San Facade,8,0,1,6.017,17,2,1,0,0,19.14,Rapido
Calle 34,Calle 38A Sur,17,2,3,10.624,20,4,1,0,0,46.99,Medio
Shaio,Centro Memoria,11,3,3,9.458,22,4,0,0,0,19.57,Rapido
Flores,Calle 100 Suba,6,1,2,5.275,13,6,0,1,0,8.36,Rapido
Shaio,Calle 127,6,1,2,2.465,8,5,1,1,0,13.31,Rapido
Cardio Infantil,Mandalay,21,4,5,13.239,16,4,0,0,0,49.21,Medio
Calle 63 NQS,Minuto de Dios,7,1,2,4.995,19,4,1,0,0,16.79,Rapido
Escuela Militar,Centro Memoria,8,2,3,7.269,16,1,0,0,0,16.86,Rapido
Calle 19,Biblioteca Tintal,12,1,2,6.454,12,4,0,0,0,24.8,Rapido
Heroes,Alcala,7,1,2,6.424,15,5,0,1,0,12.6,Rapido
Portal Suba,Aurora,31,5,5,25.088,15,1,0,0,1,76.41,Lento
Salitre El Greco,Quiroga,15,4,3,10.776,13,4,0,0,0,28.09,Medio
Calle 40 Sur,Aurora,8,1,2,4.147,17,4,1,0,0,45.09,Medio
General Santander,Calle 63 NQS,10,1,2,12.481,6,2,1,0,0,28.38,Medio
Granja,Biblioteca Tintal,16,2,3,6.37,19,5,1,1,0,44.31,Medio
Granja,Molinos,29,7,6,19.549,8,0,1,0,0,112.88,Lento
NQS Calle 38A Sur,Escuela Militar,7,0,1,9.688,17,4,1,0,0,21.66,Rapido
Las Aguas,Portal Usme,21,3,4,10.769,22,0,0,0,1,59.71,Lento
Portal El Dorado,San Victorino,14,4,2,7.549,5,0,0,0,1,23.62,Rapido
Marly,Portal Usme,24,2,3,14.364,17,5,1,1,1,82.56,Lento
Modelia,Yomasa,25,5,4,15.623,14,1,0,0,0,71.02,Lento
Gratamira,CAN,10,2,3,6.336,13,3,0,0,0,21.06,Rapido
Av 68,San Victorino,10,4,2,6.226,13,1,0,0,0,18.11,Rapido
Calle 38A Sur,Calle 127,21,5,6,19.29,17,4,1,0,0,80.64,Lento
Yomasa,Escuela Militar,17,2,3,17.577,18,1,1,0,0,66.04,Lento
La Campiña,Tercer Milenio,17,3,3,15.641,15,3,0,0,0,30.47,Medio
Calle 38A Sur,Simon Bolivar,12,2,3,13.314,22,5,0,1,0,28.17,Medio
La Campiña,Restrepo,20,4,4,18.04,9,3,0,0,0,43.77,Medio
Calle 40 Sur,Santa Lucia,4,1,2,2.155,10,2,0,0,0,10.13,Rapido
Calle 22,Calle 85,6,1,2,6.296,15,6,0,1,0,8.97,Rapido
Las Aguas,Olaya,9,2,3,3.614,18,2,1,0,0,22.18,Rapido
Gratamira,Calle 45,10,1,2,8.599,11,0,0,0,0,16.13,Rapido
Toberin,Granja,16,4,4,8.97,23,4,0,0,0,28.37,Medio
Av 68,Modelia,3,0,1,1.68,7,5,1,1,0,5.66,Rapido
Tercer Milenio,Portal Suba,18,3,3,16.453,16,1,0,0,1,36.06,Medio
Calle 38A Sur,Calle 63,17,4,4,13.522,11,1,0,0,0,37.32,Medio
Alcala,Granja,12,4,4,6.168,18,1,1,0,0,41.28,Medio
Consuelo,Calle 100,22,4,5,19.015,10,3,0,0,0,70.09,Lento
Mandalay,Portal El Dorado,22,4,3,2.245,12,3,0,0,1,39.81,Medio
Museo Nacional,Las Aguas,3,0,1,1.807,17,4,1,0,0,6.2,Rapido
Ricaurte,Restrepo,4,1,2,4.446,6,4,1,0,0,8.28,Rapido
Av Chile,Flores,7,2,3,3.126,21,4,0,0,0,11.79,Rapido
San Victorino,NQS Calle 38A Sur,6,3,4,1.489,21,6,0,1,0,7.01,Rapido
Hospitales,Portal 80,8,0,1,11.376,17,2,1,0,1,25.05,Medio
Calle 63 NQS,Pepe Sierra,8,3,4,4.453,14,4,0,0,0,18.5,Rapido
Calle 40 Sur,Portal Norte,24,4,5,23.19,19,0,1,0,1,70.86,Lento
Simon Bolivar,Salitre El Greco,11,3,4,1.694,9,3,0,0,0,21.59,Rapido
Calle 72,Portal El Dorado,10,1,2,5.998,23,5,0,1,1,17.39,Rapido
Calle 127,General Santander,20,5,4,17.464,15,5,0,1,0,37.03,Medio
Calle 63,Calle 22,3,1,2,4.254,7,0,1,0,0,6.72,Rapido
Calle 106,Restrepo,14,5,4,12.629,17,5,1,1,0,32.86,Medio
Calle 63,Museo Nacional,5,2,2,3.924,22,3,0,0,0,6.09,Rapido
Marly,Santa Lucia,17,2,3,10.941,9,1,0,0,0,35.36,Medio
Biblioteca Tintal,Patio Bonito,2,0,1,0.993,14,2,0,0,0,2.84,Rapido
Heroes,Yomasa,21,4,4,15.598,10,0,0,0,0,59.4,Lento
21 Angeles,Virrey,7,1,2,5.714,13,0,0,0,0,13.46,Rapido
Salitre El Greco,21 Angeles,12,2,3,6.994,20,1,1,0,0,30.34,Medio
Portal El Dorado,Olaya,19,4,3,10.99,19,0,1,0,1,46.77,Medio
San Facade,Gratamira,13,3,4,11.785,22,6,0,1,0,20.24,Rapido
Calle 40 Sur,CAN,15,4,3,11.435,16,0,0,0,0,24.28,Rapido
Shaio,Tercer Milenio,12,3,3,11.324,14,2,0,0,0,21.2,Rapido
Patio Bonito,Calle 72,15,3,4,7.977,10,5,0,1,0,29.78,Medio
Suba TV 91,Shaio,5,0,1,3.547,22,1,0,0,0,8.28,Rapido
Molinos,Av Cali Calle 80,26,3,4,19.758,7,6,1,1,0,81.32,Lento
Museo Nacional,Calle 100,8,3,3,7.537,18,6,1,1,0,14.78,Rapido
Calle 38A Sur,Calle 22,15,2,3,9.274,13,2,0,0,0,34.09,Medio
Consuelo,Toberin,31,5,6,26.44,6,0,1,0,0,127.79,Lento
Restrepo,Calle 127,14,4,5,14.326,20,5,1,1,0,42.76,Medio
Heroes,Pepe Sierra,4,1,2,4.17,15,2,0,0,0,7.77,Rapido
Modelia,Calle 34,11,1,2,5.651,23,3,0,0,0,18.48,Rapido
